trade_date,ts_code,name,pred_open_d1,pred_return,ret_delta
20250922,600601.SH,方正科技,11.530529022216797,6.722905215591957,-4.953796341949279
20250922,603222.SH,济民健康,13.559389114379883,5.978857728653364,-1.815889593540776
20250922,600376.SH,首开股份,7.674491882324219,5.977196338748136,-5.246782861136867
20250922,600103.SH,青山纸业,4.424445152282715,5.872083886648571,-4.7624838527069
20250923,605298.SH,必得科技,52.16261291503906,7.822302902214706,-5.9732116611256325
20250923,603516.SH,淳中科技,168.36041259765625,7.020020563161267,-5.480733686888817
20250923,603956.SH,威派格,7.1665873527526855,6.321728162172824,-3.622984414720265
20250923,603256.SH,宏和科技,40.709259033203125,4.657648810677739,-3.3244023547870816
20250923,002241.SZ,歌尔股份,35.97850799560547,4.034242917429376,-0.649808817131925
20250924,600376.SH,首开股份,7.576355934143066,7.800531013827405,-2.2462193399434227
20250924,002600.SZ,领益智造,15.243314743041992,6.427891107650452,1.6759081815256982
20250924,603222.SH,济民健康,11.894186019897461,5.995990342260726,-3.2028416337554377
20250924,002709.SZ,天赐材料,31.12778091430664,5.835967088734573,-2.768583121876267
20250924,605068.SH,明新旭腾,33.388362884521484,5.274029082837939,-2.8442676361332353
20250925,600162.SH,香江控股,2.1993203163146973,13.978586030611972,-7.930548641863089
20250925,600376.SH,首开股份,6.978357315063477,8.128863321223733,1.7202906205620483
20250925,001234.SZ,泰慕士,39.69890213012695,7.246426650596782,-2.0171188871634493
20250925,002600.SZ,领益智造,15.726957321166992,6.9954999947567265,-4.122056645986727
20250925,600699.SH,均胜电子,38.071746826171875,6.541648441341841,-3.3349535299768363
20250926,603618.SH,杭电股份,9.961004257202148,9.535406185053885,-6.132116350561745
20250926,002115.SZ,三维通信,11.052409172058105,7.432615746161164,0.8912115504154716
20250926,600376.SH,首开股份,7.105963230133057,5.903262823400368,-0.976108329396852
20250926,605298.SH,必得科技,45.65550994873047,5.575341562051128,1.7079836454835018
20250926,600699.SH,均胜电子,37.195465087890625,5.476963421215908,-2.250035462139155
20250929,601869.SH,长飞光纤,107.49978637695312,6.5299411025604215,-4.67388338934458
20250929,002517.SZ,恺英网络,27.983829498291016,5.815618691083979,0.3340385325403261
20250929,601598.SH,中国外运,7.24605131149292,5.52879100193302,-3.8451175443273478
20250929,603444.SH,吉比特,605.8706665039062,5.007806439482421,-1.1233355163099423
20250929,001234.SZ,泰慕士,30.252412796020508,4.834534925817224,-0.9518973254725394
20250930,603848.SH,好太太,19.97593116760254,7.471863111710464,-3.125689198791748
20250930,002549.SZ,凯美特气,23.09785270690918,4.405600310377933,-2.2717297328675334
20250930,002402.SZ,和而泰,53.30420684814453,4.321199828551658,-2.9582209083070854
20250930,002803.SZ,吉宏股份,19.153757095336914,4.250756907830833,-2.051296185502194
20250930,605117.SH,德业股份,110.53125762939453,3.445981352715699,-0.5670315148966543
20251009,600173.SH,卧龙新能,8.819962501525879,8.017867990673388,1.1298888467352386
20251009,603090.SH,宏盛股份,54.99555587768555,7.949981011610618,-4.1726134602809495
20251009,600580.SH,卧龙电驱,59.452457427978516,7.375849340447593,-3.3582305256958156
20251009,600167.SH,联美控股,9.374872207641602,7.0660744266964,-2.585158187048675
20251009,002062.SZ,宏润建设,10.65392780303955,6.808083877061555,-3.523413456307689
20251010,601069.SH,西部黄金,33.63916015625,11.863976739617055,-4.433104232125572
20251010,600173.SH,卧龙新能,9.308366775512695,7.753208705357162,-3.667470323976385
20251010,603301.SH,振德医疗,51.10558319091797,6.409161921525652,0.13593994595018088
20251010,002272.SZ,川润股份,17.4433536529541,6.3516466357592005,-0.8889359277251874
20251010,600895.SH,张江高科,49.35673904418945,5.4144429571959085,-1.2991651917751756
20251013,600410.SH,华胜天成,18.590682983398438,6.991690703983888,-1.872632312152711
20251013,002210.SZ,飞马国际,3.886528253555298,6.196216263696175,-3.5558937731837714
20251013,600895.SH,张江高科,49.52178192138672,5.670858735392259,-4.0035576081659086
20251013,603300.SH,海南华铁,7.929327011108398,5.428928339510408,-3.2225639463956846
20251013,002850.SZ,科达利,190.50184631347656,5.42825017474069,-4.433970130083353
20251014,600167.SH,联美控股,9.480164527893066,10.639666469574749,-6.756316759620029
20251014,002335.SZ,科华数据,66.60165405273438,6.873037922348479,3.489282054333964
20251014,600103.SH,青山纸业,3.4836690425872803,5.531830718151687,-3.004728717461491
20251014,002261.SZ,拓维信息,35.4687385559082,5.383917267433236,-0.43475141881681445
20251014,001332.SZ,锡装股份,71.9657211303711,5.065068725884014,-0.11379273673277623
20251015,002335.SZ,科华数据,63.042057037353516,8.179835315351225,-5.435763013041139
20251015,001309.SZ,德明利,254.8103790283203,7.098735550530955,-2.2397599790558553
20251015,002674.SZ,兴业科技,15.015063285827637,6.256286338196193,-4.547845055288513
20251015,000426.SZ,兴业银锡,36.56232452392578,6.152169715884148,-3.1249839320400596
20251015,600103.SH,青山纸业,3.71547269821167,6.033818920250544,-2.618654798362008
20251016,603156.SH,养元饮品,32.09193801879883,7.559251960330049,-2.7322360377276533
20251016,603083.SH,剑桥科技,104.75453186035156,7.034919444976784,-0.17765653754733268
20251016,000006.SZ,深振业A,12.436283111572266,6.560432747618794,-0.17683792267952914
20251016,603786.SH,科博达,93.45056915283203,4.952126677571567,-0.9212529879696119
20251016,603988.SH,中电电机,31.14212417602539,4.317993032031953,-1.1978875558583901
20251017,002460.SZ,赣锋锂业,64.03253173828125,6.899615471885956,-3.4245362822797443
20251017,603286.SH,日盈电子,45.07565689086914,6.428549799138095,-2.8007209646321307
20251017,600173.SH,卧龙新能,9.912846565246582,5.880098342895512,2.4923944473266513
20251017,000006.SZ,深振业A,10.785237312316895,5.857366037160561,-0.7855103005488528
20251017,603786.SH,科博达,95.8834228515625,5.613181490942276,-5.0859876196929665
20251020,002942.SZ,新农股份,25.2083683013916,8.966610681576025,-6.469696480137488
20251020,002869.SZ,金溢科技,27.863414764404297,7.119532185939392,-3.9346041073341054
20251020,600629.SH,华建集团,38.13615417480469,6.724846760912939,-2.8520401061255862
20251020,002902.SZ,铭普光磁,20.853023529052734,6.43558094450527,-3.018961128316411
20251020,603166.SH,福达股份,16.596712112426758,5.841699937386968,-0.5659024299185855
20251021,605050.SH,福然德,14.346538543701172,4.701796863532404,-2.8794762004215047
20251021,601137.SH,博威合金,23.93838119506836,4.566261897665469,-3.066841194774317
20251021,002029.SZ,七匹狼,9.590496063232422,4.419198669217406,-1.5501101861528532
20251021,002989.SZ,中天精装,28.00800323486328,4.18976901357242,-3.315145373561257
20251021,002246.SZ,北化股份,19.321754455566406,4.150184082215902,0.46196579565744855
20251022,600078.SH,澄星股份,9.90611457824707,3.6855034628896277,-2.6045838991800796
20251022,000014.SZ,沙河股份,22.150075912475586,3.2274613046369582,-1.1691540386569388
20251022,002759.SZ,天际股份,24.019428253173828,3.0854452644319297,-1.203263247268871
20251022,603686.SH,福龙马,25.69278907775879,2.8756310986327582,-1.1141144017974947
20251022,601212.SH,白银有色,5.608885765075684,2.7320800943577694,0.06711762002173938
20251023,600078.SH,澄星股份,9.23101806640625,12.444559733072902,-5.504201983546352
20251023,600629.SH,华建集团,37.79925537109375,10.12429010365279,-5.527272599004207
20251023,603878.SH,武进不锈,11.5269136428833,9.246768351139,7.120626496429994
20251023,601011.SH,宝泰隆,3.942180633544922,6.934458017349243,-5.189443627993273
20251023,600408.SH,安泰集团,2.896496534347534,5.894179179750636,-2.3879881562857808
20251024,600629.SH,华建集团,35.3318977355957,12.851366947800447,-7.1987086643583
20251024,600984.SH,建设机械,4.330415725708008,7.758987517583926,-4.530489444732666
20251024,600635.SH,大众公用,7.648615837097168,7.545596073058425,-3.0141285248442617
20251024,600167.SH,联美控股,9.097585678100586,6.928711235323992,-0.9468864166892965
20251024,002171.SZ,楚江新材,12.258516311645508,6.1834053343712725,-4.100479042015204
20251027,603301.SH,振德医疗,80.08200073242188,7.30767754016759,-5.747981896561161
20251027,003038.SZ,鑫铂股份,18.7023868560791,6.524920284684188,-3.5379495906932013
20251027,603686.SH,福龙马,25.366928100585938,6.149624473639559,-5.68707135151123
20251027,600376.SH,首开股份,6.366548538208008,5.982337951660166,-3.5415773391723526
20251027,600172.SH,黄河旋风,7.24166202545166,5.934944646111862,-5.0649627871897085
20251028,600681.SH,百川能源,4.627930164337158,4.58014568597922,-0.32860026472418813
20251028,600376.SH,首开股份,6.889261722564697,4.492722555648454,-1.3954617256342061
20251028,002971.SZ,和远气体,37.558868408203125,4.478703788556682,-2.268910690451298
20251028,002050.SZ,三花智控,48.765708923339844,4.105070349426332,1.2851473651580125
20251028,603848.SH,好太太,21.25967025756836,4.060576646070957,-3.5126039784700414
20251029,603938.SH,三孚股份,19.2045841217041,5.7583698919103865,-3.1820907936512155
20251029,000852.SZ,石化机械,7.871944904327393,4.204304850208329,-0.42716739424975003
20251029,002578.SZ,闽发铝业,3.6191327571868896,4.0385469146396735,-2.15402219606482
20251029,002160.SZ,常铝股份,5.178638935089111,3.83343511773635,0.06376800611038735
20251029,601212.SH,白银有色,5.195653915405273,3.700037896063302,0.5821480349874397
20251030,000852.SZ,石化机械,7.72321891784668,13.888994852701831,2.496170997619629
20251030,603938.SH,三孚股份,19.184385299682617,9.19854237443598,-0.642730791932733
20251030,600403.SH,大有能源,8.497509956359863,7.057388055226732,-1.3816987923133572
20251030,003033.SZ,征和工业,83.22356414794922,6.242415157518577,-1.9726653115985426
20251030,001231.SZ,农心科技,23.590970993041992,5.279830076232561,-4.014673818959413
20251031,600403.SH,大有能源,8.816054344177246,8.741352311309036,-2.6876241002609103
20251031,001309.SZ,德明利,329.20501708984375,8.117070812212223,-6.147625518729138
20251031,603530.SH,神马电力,40.4726448059082,5.588049097626624,-4.396682887708625
20251031,603009.SH,北特科技,49.78522491455078,5.470281178375713,-2.2209126298362136
20251031,000969.SZ,安泰科技,24.14199447631836,4.613092868979796,-2.853548259058014
20251103,002487.SZ,大金重工,51.43363571166992,5.620442453276642,-3.316555655315523
20251103,000559.SZ,万向钱潮,13.202133178710938,5.3408818350078935,-3.299475375810079
20251103,600629.SH,华建集团,22.731748580932617,5.0659576392958705,2.506301886155171
20251103,001309.SZ,德明利,325.2662658691406,4.8553555160027795,-3.499617620823048
20251103,002941.SZ,新疆交建,19.397842407226562,4.846857673923144,-1.7507664301408488
20251104,003033.SZ,征和工业,82.4307632446289,5.408297104346871,-5.267865767172686
20251104,002040.SZ,南京港,12.207576751708984,4.347896890208158,-0.6959727099569601
20251104,603508.SH,思维列控,31.115516662597656,4.172906659541931,-0.8831914560599508
20251104,603301.SH,振德医疗,92.67964172363281,3.5371464299142508,-2.3341422524711275
20251104,002517.SZ,恺英网络,25.34174346923828,3.365967855134877,-0.7084856178581012
20251105,603192.SH,汇得科技,29.11604118347168,6.966205740035281,-1.751807333295119
20251105,601138.SH,工业富联,75.40658569335938,4.91930920775796,-3.4733940360339277
20251105,000688.SZ,国城矿业,16.507160186767578,3.1882683194517147,-1.8924011285544218
20251105,605598.SH,上海港湾,33.070858001708984,3.0887149450310014,-2.206874207756182
20251105,603778.SH,国晟科技,4.856801509857178,3.0750572681427,-3.053780396779393
20251106,603192.SH,汇得科技,26.629013061523438,21.72848770193958,-9.733508603971863
20251106,001309.SZ,德明利,224.90679931640625,5.016600301970664,-0.5973689391742809
20251106,002320.SZ,海峡股份,15.06845474243164,4.619335818600345,0.3369227632299632
20251106,002160.SZ,常铝股份,5.615546703338623,3.9759485345137735,0.6386554032041358
20251106,000620.SZ,盈新发展,3.310946464538574,3.7802912972190184,1.216358127016015
20251107,603192.SH,汇得科技,26.00812339782715,11.134394957749482,-6.351676082027801
